"Table 226.40. SAT mean scores of high school seniors, standard deviations, and percentage of the graduating class taking the SAT, by state: Selected years, 2018 through 2023
              ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,2018,,,,,,,2021,,,,,,,2022,,,,,,,2023,,,,,,,
,Mean score\1\ and standard deviation (SD),,,,,,Percent taking SAT\2\,Mean score\1\ and standard deviation (SD),,,,,,Percent taking SAT\2\,Mean score\1\ and standard deviation (SD),,,,,,Percent taking SAT\2\,Mean score\1\ and standard deviation (SD),,,,,,Percent taking SAT\2\,
,Total SAT,,Evidence-based reading and writing (ERW),,Math,,,Total SAT,,Evidence-based reading and writing (ERW),,Math,,,Total SAT,,Evidence-based reading and writing (ERW),,Math,,,Total SAT,,Evidence-based reading and writing (ERW),,Math,,,
,Mean score,SD,Mean score,SD,Mean score,SD,,Mean score,SD,Mean score,SD,Mean score,SD,,Mean score,SD,Mean score,SD,Mean score,SD,,Mean score,SD,Mean score,SD,Mean score,SD,,
1 ,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
   United States ,1068,204,536,102,531,114,57,1060,217,533,108,528,120,40,1050,216,529,108,521,120,46,1028,221,520,110,508,122,51,
Alabama ,1166,205,595,100,571,116,6,1159,191,591,96,568,108,3,1146,210,586,103,560,119,4,1161,209,592,102,570,119,3,
Alaska ,1106,173,562,90,544,96,43,1119,184,567,97,553,99,23,1110,167,565,89,545,92,26,1082,185,553,96,529,100,30,
Arizona ,1149,174,577,88,572,97,29,1181,188,592,95,589,104,11,1159,197,583,99,577,108,14,1183,192,596,95,587,107,11,
Arkansas ,1169,199,592,103,576,108,5,1194,182,610,92,584,102,2,1191,186,610,95,581,104,2,1192,185,610,93,582,105,2,
California ,1076,205,540,101,536,114,60,1057,247,527,121,530,135,24,1115,244,560,118,555,135,21,1083,247,546,121,536,135,25,
Colorado ,1025,201,519,103,506,108,100,1072,199,544,101,528,108,56,1021,200,518,103,503,106,84,996,201,508,104,488,108,90,
Connecticut ,1053,217,535,108,519,118,100,1072,216,545,107,527,118,69,1025,220,520,111,505,118,89,1007,223,512,113,495,119,93,
Delaware ,998,202,505,105,492,107,100,984,202,499,105,485,107,96,968,202,491,106,477,106,95,958,198,489,104,469,103,95,
District of Columbia ,977,249,497,128,480,130,92,987,260,500,133,487,135,90,985,259,502,131,484,135,100,969,263,495,136,474,136,100,
Florida ,1014,196,522,97,493,110,97,993,202,513,100,480,112,81,983,201,510,99,473,113,87,966,203,503,102,463,113,90,
Georgia ,1064,183,542,93,522,100,70,1086,192,551,98,534,104,41,1060,191,541,98,520,104,54,1054,195,539,99,515,106,53,
Hawaii ,1099,177,550,89,549,100,56,1144,184,572,94,572,103,26,1124,189,566,94,558,107,31,1114,184,565,94,549,103,30,
Idaho ,1001,183,508,97,493,96,100,985,185,502,97,483,98,90,986,185,499,98,488,97,97,970,185,494,97,476,99,95,
Illinois ,1019,202,513,103,506,109,99,1007,208,508,104,498,113,80,981,205,495,104,485,110,97,970,208,492,105,478,113,96,
Indiana ,1086,170,546,88,539,94,67,1095,176,551,91,544,96,43,1073,185,540,96,533,100,48,971,190,489,98,482,102,100,
Iowa ,1265,195,634,96,631,110,3,1243,192,623,94,620,110,2,1196,200,602,100,594,113,3,1208,201,610,103,598,110,2,
Kansas ,1265,188,633,94,631,108,4,1243,182,619,97,623,103,2,1238,193,621,97,617,110,2,1245,194,626,96,619,111,2,
Kentucky ,1248,187,630,91,618,108,4,1219,175,616,88,603,102,2,1219,179,618,90,600,102,2,1208,180,616,90,592,103,2,
Louisiana ,1210,203,615,99,595,113,4,1188,204,605,102,583,113,3,1171,217,597,106,574,120,3,1194,203,611,102,583,111,3,
Maine ,1013,197,512,102,501,107,99,1099,191,558,98,541,105,29,1081,182,549,95,532,99,43,1080,188,551,98,529,103,38,
Maryland ,1080,209,545,104,535,115,76,1073,223,542,111,531,122,47,1075,216,546,108,529,118,54,1008,227,515,114,493,122,71,
Massachusetts ,1125,200,562,101,563,110,80,1184,199,591,100,593,110,34,1129,210,567,106,561,114,55,1112,217,560,109,551,117,57,
Michigan ,1011,197,511,101,499,106,100,1031,200,523,101,508,109,68,1000,199,506,102,495,107,84,967,202,493,104,474,109,97,
Minnesota ,1298,178,643,90,655,102,4,1263,191,626,98,636,107,2,1225,211,613,107,612,115,3,1201,226,601,115,599,122,3,
Mississippi ,1236,190,630,93,606,107,3,1202,180,612,93,589,99,1,1226,195,623,97,602,111,1,1184,203,601,103,583,111,1,
Missouri ,1262,192,633,93,629,111,4,1219,203,614,101,606,113,2,1200,210,606,104,594,117,3,1191,211,603,105,588,117,3,
Montana ,1198,164,606,85,592,91,10,1225,167,618,87,607,94,5,1206,164,609,85,597,93,6,1193,169,607,86,586,97,5,
Nebraska ,1252,196,629,97,623,113,3,1246,192,625,98,620,106,2,1222,196,613,99,609,111,2,1252,170,631,90,621,97,1,
Nevada ,1140,172,574,86,566,98,23,1195,193,596,97,598,107,4,1172,192,592,96,580,108,6,1166,198,591,97,576,111,6,
New Hampshire ,1063,201,535,103,528,109,96,1065,201,540,102,526,109,71,1050,203,530,104,521,109,81,1035,204,526,103,508,111,82,
New Jersey ,1094,207,547,102,547,115,82,1125,217,562,106,563,119,48,1079,224,543,110,537,124,63,1066,230,538,113,528,126,64,
New Mexico ,1093,206,552,105,540,112,16,996,194,508,98,488,105,30,976,193,496,101,480,102,42,901,173,458,93,444,90,94,
New York ,1068,205,534,102,534,114,79,1057,223,526,110,531,122,55,1067,217,534,108,533,119,59,1039,225,522,112,516,122,62,
North Carolina ,1098,183,554,93,543,100,52,1150,181,578,93,571,100,23,1136,192,573,98,562,105,27,1127,201,570,102,557,109,24,
North Dakota ,1283,178,640,91,643,100,2,1258,176,631,95,628,99,1,1212,187,610,97,603,103,1,1287,176,652,85,634,101,1,
Ohio ,1099,222,552,112,547,120,18,1048,225,525,113,523,120,15,1053,223,528,112,525,120,18,1044,221,525,111,519,120,18, 
Oklahoma ,1062,238,541,121,521,126,8,1042,214,535,110,507,115,6,951,196,485,105,467,101,17,953,196,486,104,468,101,18,
Oregon ,1117,180,564,94,553,98,48,1119,207,565,106,554,112,17,1143,195,580,100,563,107,22,1125,201,574,103,551,109,24,
Pennsylvania ,1086,188,547,95,539,104,70,1123,185,566,94,557,102,39,1091,196,551,99,540,107,48,1078,205,547,103,531,111,48,
Rhode Island ,1018,200,513,103,505,107,97,1011,206,514,104,497,111,68,971,203,494,106,477,107,93,958,204,489,108,468,106,95,
